"","id.new","date.col","RM","features","Provenance","NEW.TLS","WT","vat.cum","year","Wr","hatch","Sr","Ba","Mn","P","Cu","Mg"
"22","MGR02",2018-06-15,-4.3,"Glen C.",NA,362.43,579,0,"2018",NA,2014,3.6878363413936,0.0113571663258239,0.00260914264627403,73981.1124406418,0.00139417353586363,0.0462527631649015
"23","MGR03",2018-06-16,-4.3,"Glen C.",NA,311.43,346,40.5,"2018",NA,2015,3.26190446275745,0.0106869364340008,0.00287329761852988,40849.6146625574,0.000621297633206668,0.0334883173462765
"24","MGR04",2018-06-15,-4.3,"Glen C.",NA,454.23,1423,0,"2018",NA,2013,2.98198371433318,0.0136042919788676,0.00351269046920389,53753.0145717731,0.000549324937561812,0.0329746972916201
"25","MGR05",2018-06-16,-4.3,"Glen C.",NA,208.41,104,0,"2018",NA,2017,3.64904464956977,0.0175815865703116,0.00259154258572484,43341.9067794208,0.000709612828161823,0.0284751256362988
"26","MGR07",2018-06-15,-4.3,"Glen C.",NA,210.45,92,0,"2018",NA,2017,4.05963791877326,0.0166555737756569,0.00391838238247403,40950.5418375759,0.000659262023630773,0.0363120750772478
"27","MGR08",2013-01-11,-4.31,"Glen C.",NA,NA,NA,40.5,"2013",NA,2009,4.1024121258294,0.0386628015730122,0.00763072601351953,82176.7323477395,0.00049597713889444,0.393192110462456
"28","MGR10",2013-04-04,-4.46,"Glen C.",NA,437.91,NA,0,"2013",NA,2008,3.38496488433796,0.0197984979169281,0.00376448784416979,64456.2200652721,0.000592393300643418,0.0450610845445939
"29","MGR18",2014-04-03,2.6,"Glen C.",NA,304.29,NA,9.5,"2014",NA,2011,3.48873852024687,0.0235455091883751,0.00543549147748036,69003.437793148,0.000661399974639528,0.0342557736584477
"30","MGR22",2015-04-03,-2.62,"Glen C.",NA,360.39,NA,0,"2015",NA,2011,0.42581431708078,0.0485665467983364,0.00336146352369766,55806.0080982639,0.000636500698474791,0.0393290161292489
"31","MGR23",2013-04-05,-2.3,"Glen C.",NA,277.77,NA,0,"2013",NA,2011,3.22413848494778,0.0134374691534754,0.00696926255204756,67472.0015569498,0.000470733993140035,0.0376629500650032
"32","MSC01",2021-04-08,8.92,"Glen C.",NA,495,815,0,"2021",63.4053960885178,2016,4.19433066506047,0.0167510137697408,0.00334051755352899,267850.557273286,0.00768687668071041,0.0658917145291782
"33","MSC18",2018-09-09,-4.02,"Glen C.",NA,423.6001,NA,0,"2018",NA,2015,3.629825933807,0.012568956739298,0.00224321578812241,52931.6031981528,0.000317342209078186,0.0335812917624408
"34","MSC24",2019-11-06,-4.02,"Glen C.",NA,365.6596,589,0,"2019",NA,2017,3.66091494505569,0.00956392390464561,0.00276345220914145,62460.296559515,0.00287868157769789,0.0442650979776958
"35","MSC27",2020-01-27,-4.15,"Glen C.",NA,428.6826,902,8,"2020",NA,2016,3.39721329735311,0.0117799067114061,0.0017821851365504,66189.4605933659,0.000739183802158713,0.0384202795017783
"36","MSC28",2019-09-15,-4.15,"Glen C.",NA,447.9961,926,0,"2019",NA,2016,3.27345282334032,0.0167634599917177,0.00371322893354017,66688.7169649743,0.0024979303188243,0.0623683446700102
"37","MSC29",2019-11-06,-4.15,"Glen C.",NA,471,633,0,"2019",57.0508113216694,2015,3.48831427690891,0.0164563030926915,0.00519030203368028,39672.4480066614,0.000422135485379968,0.0315875651729034
"38","MSC30",2019-11-02,-8.88,"Glen C.",NA,405.3031,818,0,"2019",NA,2016,3.96285202383206,0.015255240871163,0.00268878717404433,45618.1245596582,0.000717738991719214,0.0332698705097475
"39","MSC31",2018-09-08,-4.06,"Glen C.",NA,440.8806,NA,92.5,"2018",NA,2015,3.75474994983665,0.0129304300054468,0.00154326451728865,67017.2103281869,0.00118311819058424,0.0299141169927409
"40","MSC33",2019-06-27,-4.31,"Glen C.",NA,441.8971,980,80,"2019",NA,2016,3.53210220355876,0.0147419730322788,0.00324602045501786,46958.7696802691,0.000719236184772151,0.0369081732029438
"41","MSC35",2019-09-13,-13.36,"Glen C.",NA,410.3856,763,15,"2019",NA,2016,3.23160450350284,0.00915210093214408,0.00485654634102237,48854.2704464744,0.000415567457391473,0.0313303821929127
"42","MSC36",2019-02-10,-4.02,"Glen C.",NA,423.6001,886,4.5,"2019",NA,2016,3.25746121600704,0.00802600922937843,0.00150581544722912,42510.6149211648,0.00117034918881136,0.0384179661862966
"43","MSC43",2018-06-16,-3.75,"Glen C.",NA,650,3404,0,"2018",118.240434169803,2012,3.64677308502052,0.0210353194493535,0.00578348558695108,84640.5377999523,0.00133485948910586,0.0392318761584692
"44","MSC53",2014-01-09,-4.02,"Glen C.",NA,474.4251,1293,22,"2014",NA,2010,4.99292212414279,0.0376385396905909,0.00254757551634285,67724.7358016092,0.00191124798257581,0.027843246089691
"45","MSC56",2015-01-09,-4.02,"Glen C.",NA,421,747,0,"2015",93.852446512802,2012,3.80580708305368,0.0258212927136733,0.00604698373109702,80527.5200035759,0.00121598203518447,0.0410742157881228
"46","MSC57",2015-01-09,-4.02,"Glen C.",NA,447.9961,NA,27,"2015",NA,2011,4.45786360179865,0.0394263773134505,0.00606165528694526,65207.7960798386,0.00143918804685059,0.0344755398545236
"47","MSC58",2014-01-10,-4.06,"Glen C.",NA,367.6926,563,50.5,"2014",NA,2011,4.4650565278857,0.0173240582136158,0.00202734868751328,58873.5187012274,0.00137024004609878,0.0226691838636218
"48","MSC59",2014-01-09,-7,"Glen C.",NA,NA,NA,46,"2014",NA,NA,4.00281549546321,0.0231500017888624,0.00667496714681861,113426.662681705,0.0010384895268577,0.168842346869446
"49","MSC61",2014-01-10,-4.06,"Glen C.",NA,384.9731,602,75,"2014",NA,2011,5.13603738298158,0.0331191814862288,0.00395721590677894,78738.8821267776,0.00293661436063749,0.0371710705085499
